fips,lat,lon
430,43.4,141.8
431,43.4,141.9
432,43.4,142.0
433,43.4,142.1
434,43.4,142.2
435,43.4,142.2
436,43.4,142.4
437,43.4,142.5
438,43.4,142.6
439,43.4,142.8
440,43.4,142.8
441,43.4,142.9
442,43.4,143.0
443,43.4,143.1
444,43.4,143.2
445,43.4,143.2
446,43.4,143.4
447,43.4,143.5
448,43.4,143.6
449,43.4,143.8
450,43.4,143.8
451,43.4,143.9
452,43.4,144.0
453,43.4,144.1
454,43.4,144.2
455,43.4,144.2
456,43.4,144.4
457,43.4,144.5
458,43.4,144.6
459,43.4,144.8
460,43.4,144.8
461,43.4,144.9
462,43.4,145.0
463,43.4,145.1
464,43.4,145.2
465,43.3,140.5
466,43.3,141.4
467,43.3,141.5
468,43.3,141.6
469,43.3,141.8
470,43.3,141.8
471,43.3,141.9
472,43.3,142.0
473,43.3,142.1
474,43.3,142.2
475,43.3,142.2
476,43.3,142.4
477,43.3,142.5
478,43.3,142.6
479,43.3,142.8
480,43.3,142.8
481,43.3,142.9
482,43.3,143.0
483,43.3,143.1
484,43.3,143.2
485,43.3,143.2
486,43.3,143.4
487,43.3,143.5
488,43.3,143.6
489,43.3,143.8
490,43.3,143.8
491,43.3,143.9
492,43.3,144.0
493,43.3,144.1
494,43.3,144.2
495,43.3,144.2
496,43.3,144.4
497,43.3,144.5
498,43.3,144.6
499,43.3,144.8
500,43.3,144.8
501,43.3,144.9
502,43.3,145.0
503,43.3,145.1
504,43.3,145.2
505,43.3,145.2
506,43.2,140.4
507,43.2,140.5
508,43.2,140.6
509,43.2,140.8
510,43.2,140.9
511,43.2,141.2
512,43.2,141.4
513,43.2,141.5
514,43.2,141.6
515,43.2,141.8
516,43.2,141.8
517,43.2,141.9
518,43.2,142.0
519,43.2,142.1
520,43.2,142.2
521,43.2,142.2
522,43.2,142.4
523,43.2,142.5
524,43.2,142.6
525,43.2,142.8
526,43.2,142.8
527,43.2,142.9
528,43.2,143.0
529,43.2,143.1
530,43.2,143.2
531,43.2,143.2
532,43.2,143.4
533,43.2,143.5
534,43.2,143.6
535,43.2,143.8
536,43.2,143.8
537,43.2,143.9
538,43.2,144.0
539,43.2,144.1
540,43.2,144.2
541,43.2,144.2
542,43.2,144.4
543,43.2,144.5
544,43.2,144.6
545,43.2,144.8
546,43.2,144.8
547,43.2,144.9
548,43.2,145.0
549,43.2,145.1
550,43.2,145.2
551,43.2,145.2
552,43.2,145.4
553,43.2,145.5
554,43.1,140.6
555,43.1,140.8
556,43.1,140.8
557,43.1,140.9
558,43.1,141.0
559,43.1,141.1
560,43.1,141.2
561,43.1,141.2
562,43.1,141.4
563,43.1,141.5
564,43.1,141.6
565,43.1,141.8
566,43.1,141.8
567,43.1,141.9
568,43.1,142.0
569,43.1,142.1
570,43.1,142.2
571,43.1,142.2
572,43.1,142.4
573,43.1,142.5
574,43.1,142.6
575,43.1,142.8
576,43.1,142.8
577,43.1,142.9
578,43.1,143.0
579,43.1,143.1
580,43.1,143.2
581,43.1,143.2
582,43.1,143.4
583,43.1,143.5
584,43.1,143.6
585,43.1,143.8
586,43.1,143.8
587,43.1,143.9
588,43.1,144.0
589,43.1,144.1
590,43.1,144.2
591,43.1,144.2
592,43.1,144.4
593,43.1,144.5
594,43.1,144.6
595,43.1,144.8
596,43.1,144.8
597,43.1,144.9
598,43.1,145.0
599,43.0,140.6
600,43.0,140.8
601,43.0,140.8
602,43.0,140.9
603,43.0,141.0
604,43.0,141.1
605,43.0,141.2
606,43.0,141.2
607,43.0,141.4
608,43.0,141.5
609,43.0,141.6
610,43.0,141.8
611,43.0,141.8
612,43.0,141.9
613,43.0,142.0
614,43.0,142.1
615,43.0,142.2
616,43.0,142.2
617,43.0,142.4
618,43.0,142.5
619,43.0,142.6
620,43.0,142.8
621,43.0,142.8
622,43.0,142.9
623,43.0,143.0
624,43.0,143.1
625,43.0,143.2
626,43.0,143.2
627,43.0,143.4
628,43.0,143.5
629,43.0,143.6
630,43.0,143.8
631,43.0,143.8
632,43.0,143.9
633,43.0,144.0
634,43.0,144.1
635,43.0,144.2
636,43.0,144.4
637,43.0,144.5
638,43.0,144.6
639,43.0,144.8
640,42.9,140.5
641,42.9,140.6
642,42.9,140.8
643,42.9,140.8
644,42.9,140.9
645,42.9,141.0
646,42.9,141.1
647,42.9,141.2
648,42.9,141.2
649,42.9,141.4
650,42.9,141.5
651,42.9,141.6
652,42.9,141.8
653,42.9,141.8
654,42.9,141.9
655,42.9,142.0
656,42.9,142.1
657,42.9,142.2
658,42.9,142.2
659,42.9,142.4
660,42.9,142.5
661,42.9,142.6
662,42.9,142.8
663,42.9,142.8
664,42.9,142.9
665,42.9,143.0
666,42.9,143.1
667,42.9,143.2
668,42.9,143.2
669,42.9,143.4
670,42.9,143.5
671,42.9,143.6
672,42.9,143.8
673,42.9,143.8
674,42.9,143.9
675,42.8,140.2
676,42.8,140.4
677,42.8,140.5
678,42.8,140.6
679,42.8,140.8
680,42.8,140.8
681,42.8,140.9
682,42.8,141.0
683,42.8,141.1
684,42.8,141.2
685,42.8,141.2
686,42.8,141.4
687,42.8,141.5
688,42.8,141.6
689,42.8,141.8
690,42.8,141.8
691,42.8,141.9
692,42.8,142.0
693,42.8,142.1
694,42.8,142.2
695,42.8,142.2
696,42.8,142.4
697,42.8,142.5
698,42.8,142.6
699,42.8,142.8
700,42.8,142.8
701,42.8,142.9
702,42.8,143.0
703,42.8,143.1
704,42.8,143.2
705,42.8,143.2
706,42.8,143.4
707,42.8,143.5
708,42.8,143.6
709,42.8,143.8
710,42.7,140.1
711,42.7,140.2
712,42.7,140.2
713,42.7,140.4
714,42.7,140.5
715,42.7,140.6
716,42.7,140.8
717,42.7,140.8
718,42.7,140.9
719,42.7,141.0
720,42.7,141.1
721,42.7,141.2
722,42.7,141.2
723,42.7,141.4
724,42.7,141.5
725,42.7,141.6
726,42.7,141.8
727,42.7,141.8
728,42.7,141.9
729,42.7,142.0
730,42.7,142.1
731,42.7,142.2
732,42.7,142.2
733,42.7,142.4
734,42.7,142.5
735,42.7,142.6
736,42.7,142.8
737,42.7,142.8
738,42.7,142.9
739,42.7,143.0
740,42.7,143.1
741,42.7,143.2
742,42.7,143.2
743,42.7,143.4
744,42.7,143.5
745,42.7,143.6
746,42.6,139.9
747,42.6,140.0
748,42.6,140.1
749,42.6,140.2
750,42.6,140.2
751,42.6,140.4
752,42.6,140.6
753,42.6,140.8
754,42.6,140.8
755,42.6,140.9
756,42.6,141.0
757,42.6,141.1
758,42.6,141.2
759,42.6,141.2
760,42.6,141.9
761,42.6,142.0
762,42.6,142.1
763,42.6,142.2
764,42.6,142.2
765,42.6,142.4
766,42.6,142.5
767,42.6,142.6
768,42.6,142.8
769,42.6,142.8
770,42.6,142.9
771,42.6,143.0
772,42.6,143.1
773,42.6,143.2
774,42.6,143.2
775,42.6,143.4
776,42.6,143.5
777,42.5,139.9
778,42.5,140.0
779,42.5,140.1
780,42.5,140.2
781,42.5,140.2
782,42.5,140.8
783,42.5,140.9
784,42.5,141.0
785,42.5,141.1
786,42.5,141.2
787,42.5,142.1
788,42.5,142.2
789,42.5,142.2
790,42.5,142.4
791,42.5,142.5
792,42.5,142.6
793,42.5,142.8
794,42.5,142.8
795,42.5,142.9
796,42.5,143.0
797,42.5,143.1
798,42.5,143.2
799,42.5,143.2
800,42.5,143.4
801,42.4,139.9
802,42.4,140.0
803,42.4,140.1
804,42.4,140.2
805,42.4,141.0
806,42.4,142.2
807,42.4,142.4
808,42.4,142.5
809,42.4,142.6
810,42.4,142.8
811,42.4,142.8
812,42.4,142.9
813,42.4,143.0
814,42.4,143.1
815,42.4,143.2
816,42.4,143.2
817,42.3,139.8
818,42.3,139.9
819,42.3,140.0
820,42.3,140.1
821,42.3,140.2
822,42.3,142.6
823,42.3,142.8
824,42.3,142.8
825,42.3,142.9
826,42.3,143.0
827,42.3,143.1
828,42.3,143.2
829,42.3,143.2
830,42.2,139.5
831,42.2,139.9
832,42.2,140.0
833,42.2,140.1
834,42.2,140.2
835,42.2,140.2
836,42.2,142.8
837,42.2,142.8
838,42.2,142.9
839,42.2,143.0
840,42.2,143.1
841,42.2,143.2
842,42.2,143.2
843,42.1,140.1
844,42.1,140.2
845,42.1,140.2
846,42.1,140.4
847,42.1,140.5
848,42.1,140.6
849,42.1,140.8
850,42.1,143.1
851,42.1,143.2
852,42.1,143.2
853,42.0,140.2
854,42.0,140.2
855,42.0,140.4
856,42.0,140.5
857,42.0,140.6
858,42.0,140.8
859,42.0,140.8
860,42.0,143.2
861,41.9,140.2
862,41.9,140.2
863,41.9,140.4
864,41.9,140.5
865,41.9,140.6
866,41.9,140.8
867,41.9,140.8
868,41.9,140.9
869,41.8,140.1
870,41.8,140.2
871,41.8,140.2
872,41.8,140.4
873,41.8,140.5
874,41.8,140.6
875,41.8,140.8
876,41.8,140.9
877,41.8,141.0
878,41.7,140.1
879,41.7,140.2
880,41.7,140.2
881,41.7,140.4
882,41.7,140.5
883,41.6,140.0
884,41.6,140.1
885,41.6,140.2
886,41.6,140.2
887,41.6,140.4
888,41.5,140.1
889,41.5,140.2
890,41.5,140.2
891,41.4,140.9
892,41.4,141.0
893,41.4,141.1
894,41.3,140.9
895,41.3,141.0
896,41.3,141.1
897,41.3,141.2
898,41.3,141.2
899,41.3,141.4
900,41.2,140.6
901,41.2,140.8
902,41.2,140.9
903,41.2,141.2
904,41.1,140.4
905,41.1,140.5
906,41.1,141.2
907,41.0,140.4
908,41.0,140.5
909,41.0,140.6
910,41.0,141.2
911,40.9,140.2
912,40.9,140.4
913,40.9,140.5
914,40.9,140.6
915,40.9,140.9
916,40.9,141.0
917,40.9,141.2
918,40.9,141.2
919,40.8,140.4
920,40.8,140.5
921,40.8,140.6
922,40.8,140.8
923,40.8,140.8
924,40.8,140.9
925,40.8,141.0
926,40.8,141.1
927,40.8,141.2
928,40.8,141.2
929,40.7,140.0
930,40.7,140.1
931,40.7,140.2
932,40.7,140.2
933,40.7,140.4
934,40.7,140.5
935,40.7,140.6
936,40.7,140.8
937,40.7,140.8
938,40.7,140.9
939,40.7,141.0
940,40.7,141.1
941,40.7,141.2
942,40.7,141.2
943,40.7,141.4
944,40.6,140.0
945,40.6,140.1
946,40.6,140.2
947,40.6,140.2
948,40.6,140.4
949,40.6,140.5
950,40.6,140.6
951,40.6,140.8
952,40.6,140.8
953,40.6,140.9
954,40.6,141.0
955,40.6,141.1
956,40.6,141.2
957,40.6,141.2
958,40.6,141.4
959,40.5,140.0
960,40.5,140.1
961,40.5,140.2
962,40.5,140.2
963,40.5,140.4
964,40.5,140.5
965,40.5,140.6
966,40.5,140.8
967,40.5,140.8
968,40.5,140.9
969,40.5,141.0
970,40.5,141.1
971,40.5,141.2
972,40.5,141.2
973,40.5,141.4
974,40.5,141.5
975,40.4,140.1
976,40.4,140.2
977,40.4,140.2
978,40.4,140.4
979,40.4,140.5
980,40.4,140.6
981,40.4,140.8
982,40.4,140.8
983,40.4,140.9
984,40.4,141.0
985,40.4,141.1
986,40.4,141.2
987,40.4,141.2
988,40.4,141.4
989,40.4,141.5
990,40.4,141.6
991,40.4,141.8
992,40.3,140.1
993,40.3,140.2
994,40.3,140.2
995,40.3,140.4
996,40.3,140.5
997,40.3,140.6
998,40.3,140.8
999,40.3,140.8
1000,40.3,140.9
1001,40.3,141.0
1002,40.3,141.1
1003,40.3,141.2
1004,40.3,141.2
1005,40.3,141.4
1006,40.3,141.5
1007,40.3,141.6
1008,40.3,141.8
1009,40.2,140.1
1010,40.2,140.2
1011,40.2,140.2
1012,40.2,140.4
1013,40.2,140.5
1014,40.2,140.6
1015,40.2,140.8
1016,40.2,140.8
1017,40.2,140.9
1018,40.2,141.0
1019,40.2,141.1
1020,40.2,141.2
1021,40.2,141.2
1022,40.2,141.4
1023,40.2,141.5
1024,40.2,141.6
1025,40.2,141.8
1026,40.1,140.0
1027,40.1,140.1
1028,40.1,140.2
1029,40.1,140.2
1030,40.1,140.4
1031,40.1,140.5
1032,40.1,140.6
1033,40.1,140.8
1034,40.1,140.8
1035,40.1,140.9
1036,40.1,141.0
1037,40.1,141.1
1038,40.1,141.2
1039,40.1,141.2
1040,40.1,141.4
1041,40.1,141.5
1042,40.1,141.6
1043,40.1,141.8
1044,40.1,141.8
1045,40.0,139.9
1046,40.0,140.0
1047,40.0,140.1
1048,40.0,140.2
1049,40.0,140.2
1050,40.0,140.4
1051,40.0,140.5
1052,40.0,140.6
1053,40.0,140.8
1054,40.0,140.8
1055,40.0,140.9
1056,40.0,141.0
1057,40.0,141.1
1058,40.0,141.2
1059,40.0,141.2
1060,40.0,141.4
1061,40.0,141.5
1062,40.0,141.6
1063,40.0,141.8
1064,40.0,141.8
1065,40.0,141.9
1066,39.9,139.8
1067,39.9,140.1
1068,39.9,140.2
1069,39.9,140.2
1070,39.9,140.4
1071,39.9,140.5
1072,39.9,140.6
1073,39.9,140.8
1074,39.9,140.8
1075,39.9,140.9
1076,39.9,141.0
1077,39.9,141.1
1078,39.9,141.2
1079,39.9,141.2
1080,39.9,141.4
1081,39.9,141.5
1082,39.9,141.6
1083,39.9,141.8
1084,39.9,141.8
1085,39.9,141.9
1086,39.8,140.1
1087,39.8,140.2
1088,39.8,140.2
1089,39.8,140.4
1090,39.8,140.5
1091,39.8,140.6
1092,39.8,140.8
